t0=0.0,x0=0.1,vx0=0.0,y0=0.0,vy0=0.1
t,x,vx,y,vy
0.126000,0.106960,0.096289,0.009586,0.030780
0.127000,0.107057,0.096599,0.009617,0.029822
0.128000,0.107153,0.096898,0.009646,0.028861
0.129000,0.107250,0.097188,0.009675,0.027897
0.130000,0.107347,0.097469,0.009703,0.026930
0.131000,0.107445,0.097739,0.009730,0.025960
0.132000,0.107543,0.098000,0.009756,0.024988
0.133000,0.107641,0.098251,0.009781,0.024013
0.134000,0.107739,0.098493,0.009805,0.023035
0.135000,0.107838,0.098724,0.009828,0.022055
0.136000,0.107936,0.098946,0.009850,0.021073
0.137000,0.108035,0.099158,0.009871,0.020088
0.138000,0.108135,0.099359,0.009891,0.019102
0.139000,0.108234,0.099551,0.009911,0.018113
0.140000,0.108334,0.099733,0.009929,0.017122
0.141000,0.108433,0.099906,0.009946,0.016130
0.142000,0.108533,0.100068,0.009962,0.015136
0.143000,0.108633,0.100220,0.009977,0.014140
0.144000,0.108734,0.100362,0.009991,0.013143
0.145000,0.108834,0.100494,0.010004,0.012145
0.146000,0.108935,0.100616,0.010017,0.011145
0.147000,0.109035,0.100728,0.010028,0.010144
0.148000,0.109136,0.100830,0.010038,0.009141
0.149000,0.109237,0.100922,0.010047,0.008138
0.150000,0.109338,0.101004,0.010055,0.007134
0.151000,0.109439,0.101075,0.010062,0.006129
0.152000,0.109540,0.101137,0.010068,0.005123
0.153000,0.109641,0.101188,0.010074,0.004117
0.154000,0.109743,0.101230,0.010078,0.003110
0.155000,0.109844,0.101261,0.010081,0.002103
0.156000,0.109945,0.101282,0.010083,0.001095
0.157000,0.110046,0.101293,0.010084,0.000088
0.158000,0.110148,0.101294,0.010084,-0.000920
0.159000,0.110249,0.101285,0.010083,-0.001928
0.160000,0.110351,0.101265,0.010081,-0.002936
0.161000,0.110452,0.101236,0.010078,-0.003944
0.162000,0.110553,0.101196,0.010074,-0.004951
0.163000,0.110654,0.101147,0.010069,-0.005958
0.164000,0.110756,0.101087,0.010063,-0.006964
0.165000,0.110857,0.101017,0.010056,-0.007970
0.166000,0.110958,0.100937,0.010048,-0.008975
0.167000,0.111059,0.100846,0.010039,-0.009979
0.168000,0.111160,0.100746,0.010029,-0.010983
0.169000,0.111260,0.100636,0.010019,-0.011985
0.170000,0.111361,0.100515,0.010007,-0.012987
0.171000,0.111462,0.100385,0.009994,-0.013987
0.172000,0.111562,0.100244,0.009980,-0.014986
0.173000,0.111662,0.100094,0.009965,-0.015983
0.174000,0.111763,0.099933,0.009949,-0.016979
0.175000,0.111863,0.099762,0.009932,-0.017973
0.176000,0.111962,0.099582,0.009914,-0.018966
0.177000,0.112062,0.099391,0.009895,-0.019957
0.178000,0.112161,0.099191,0.009875,-0.020946
0.179000,0.112261,0.098980,0.009854,-0.021933
0.180000,0.112360,0.098760,0.009832,-0.022917
0.181000,0.112459,0.098529,0.009809,-0.023900
0.182000,0.112557,0.098289,0.009785,-0.024881
0.183000,0.112655,0.098039,0.009760,-0.025858
0.184000,0.112754,0.097779,0.009734,-0.026834
0.185000,0.112851,0.097509,0.009707,-0.027807
